c_id,y_id,i_id,measure
5,15,3,1.70850002765656
5,16,3,1.81657004356384
5,17,3,1.74953997135162
5,18,3,1.95884001255035
5,19,3,2.14805006980896
5,20,3,1.91190004348755
5,21,3,1.94880998134613
5,22,3,2.03448009490967
5,23,3,2.07692003250122
5,24,3,1.99863004684448
5,25,3,2.00814008712769
5,26,3,2.06154990196228
5,27,3,1.80425000190735
5,28,3,1.76417994499207
5,32,3,1.65455996990204
5,33,3,1.65785002708435
5,34,3,1.98571002483368
5,35,3,1.84192001819611
5,36,3,1.85338997840881
5,38,3,1.84432995319366
5,39,3,1.88803994655609
5,29,2,2.4801866410957
5,30,2,2.49325830326962
5,31,2,2.34690960872377
5,32,2,2.48475857240288
5,33,2,1.9619072718954098
5,34,2,1.72496768849044
5,35,2,1.7163366422182
5,36,2,1.6860511377984702
5,37,2,1.6748020872592602
5,38,2,1.7033003738699901
5,39,2,1.9220531205777598
5,40,2,1.8873537833821101
5,41,2,2.07394260800124
5,42,2,2.17514171475857
5,43,2,2.1020316167467
5,44,2,2.05227346805883
5,45,2,1.98886432028757
5,46,2,1.9946526506196198
5,47,2,1.90431095555058
5,48,2,1.87568853278407
5,49,2,2.06268754965908
5,50,2,1.9074366626988
5,51,2,1.83415827484875
5,52,2,1.83645175975595
5,53,2,1.86694378614298
5,54,2,1.90584810515868
5,55,2,1.9070864861799601
5,56,2,1.92494712446006
5,57,2,1.8965104068693999
5,58,2,1.8659366006581202
5,40,1,4.47341372
5,41,1,4.21248348
5,42,1,4.34347862
5,43,1,4.38032391
5,44,1,4.25689544
5,45,1,4.14221514
5,46,1,3.91870987
5,47,1,3.65868461
5,48,1,3.87722767
5,49,1,4.32182388
5,50,1,4.20799171
5,51,1,4.32551324
5,52,1,4.549399
5,53,1,4.71002249
5,54,1,4.77322745
5,55,1,4.88872272
5,56,1,4.98188075
5,0,0,59716467625.314804
5,1,0,50056868957.67324
5,2,0,47209359005.605644
5,3,0,50706799902.510345
5,4,0,59708343488.50434
5,5,0,70436266146.72191
5,6,0,76720285969.61572
5,7,0,72881631326.67154
5,8,0,70846535055.65033
5,9,0,79705906247.4612
5,10,0,92602973434.07262
5,11,0,99800958648.14363
5,12,0,113687586299.05127
5,13,0,138544284708.95746
5,14,0,144182133387.7218
5,15,0,163431551779.76126
5,16,0,153940455341.50613
5,17,0,174938098826.56906
5,18,0,149540752829.26828
5,19,0,178280594413.0435
5,20,0,191149211575.0
5,21,0,195866382432.53967
5,22,0,205089699858.7786
5,23,0,230686747153.2567
5,24,0,259946510957.14288
5,25,0,309488028132.6531
5,26,0,300758100107.24634
5,27,0,272972974764.574
5,28,0,312353631207.819
5,29,0,347768051311.74084
5,30,0,360857912565.9656
5,31,0,383373318083.62366
5,32,0,426915712711.146
5,33,0,444731282436.76215
5,34,0,564324670005.9174
5,35,0,734547898220.5084
5,36,0,863746717503.7887
5,37,0,961603952951.8203
5,38,0,1029043097554.0822
5,39,0,1093997267271.0581
5,40,0,1211346869605.238
5,41,0,1339395718865.3027
5,42,0,1470550015081.5515
5,43,0,1660287965662.6802
5,44,0,1955347004963.2708
5,45,0,2285965892360.5435
5,46,0,2752131773355.156
5,47,0,3550342425238.252
5,48,0,4594306848763.078
5,49,0,5101702432883.449
5,50,0,6087164527421.237
5,51,0,7551500425597.771
5,52,0,8532230724141.756
5,53,0,9570405758739.791
5,54,0,10438529153237.621
5,55,0,11015542352468.887
5,56,0,11137945669350.592
5,57,0,12143491448186.068
5,58,0,13608151864637.854
6,10,3,5.7322998046875
6,11,3,5.550950050354
6,13,3,5.238450050354
6,15,3,7.74302005767822
6,18,3,8.41331005096436
6,19,3,7.03813982009888
6,20,3,6.35924005508423
6,34,3,6.37311983108521
6,35,3,4.91033983230591
6,38,3,4.06827020645142
6,42,3,3.20832
6,43,3,2.83616
6,44,3,2.28813
6,45,3,1.83577
6,50,3,6.22079
6,54,3,4.0172
6,55,3,4.56147
6,10,2,4.86040268456376
6,11,2,4.60024301336574
6,12,2,3.52967032967033
6,13,2,4.22027290448343
6,14,2,4.24087591240876
6,15,2,4.49749373433584
6,16,2,4.7318339100346005
6,17,2,4.95321959273528
6,18,2,4.31971759959657
